1,GUESS JEANS - DJINSIY KOYLAK,products_images/full_img_2425026.jpg,"Guess Jeans kolleksiyasidan libos. Olovli model denimdan qilingan.
- Yorqin uslub.
- Uzun yengli.
- yoqali model.
- tugmalar bilan mahkamlangan.
- Belga bog'lang.
- Dekorativ xiralashgan denim.
- Yeng uzunligi: 56 sm.
- Uzunligi: 88 sm.
- Qo'ltiq kengligi: 42 sm.
- O'lchovlar o'lcham uchun: S.
• Naqsh: tekis
• Material: mato
• Uzunlik: mini
• Yeng: uzun
• Material: jinsi shimlar
• Bo‘yin chizig‘i: tugmali
• Material: elastan bilan
• Vaqti-vaqti bilan: tasodifiy
• Uslub: yonib ketgan
Murakkab:
98% paxta, 2% elastan",Guess Jeans kolleksiyasidan libos. Olovli model denimdan qilingan.,25,1,470000
2,ANSWEAR LAB LIMITED,products_images/full_img_2567196.jpg,"Answear Lab kolleksiyasidan liboslar. To'g'ri model silliq matodan qilingan.
- To'g'ri mos.
- Halter dekolte.
- Orqa tomonda fermuar bor.
- Kamar.
- Fermuar bilan mahkamlanadi.
- Uzunligi: 115 sm.
- Qo'ltiq kengligi: 38 sm.
- O'lchovlar o'lcham uchun: S.
• Naqsh: tekis
• Uzunlik: midi
• Yeng: yengsiz
• Bo'yin chizig'i: yumaloq
• Material: viskoza
• Vaqti-vaqti bilan: tasodifiy
• Uslub: tekis
Murakkab:
100% viskoza",Answear Lab kolleksiyasidan liboslar. To'g'ri model silliq matodan qilingan.,30,1,350000
3,Yagona kolleksiyadan libos,products_images/full_img_2478223.jpg,"Yagona kolleksiyadan libos. To'g'ri model naqshli matodan qilingan.
- To'g'ri mos.
- Uzun yengli.
- Dumaloq dekolte.
- Orqa tomonda fermuar bor.
- Belga bog'lang.
- Naqshli mato.
- Yeng uzunligi: 56 sm.
- Uzunligi: 119 sm.
- Qo'ltiq kengligi: 45 sm.
- O'lchovlar o'lcham uchun: S.
• Naqsh: naqshli
• Material: mato
• Uzunlik: midi
• Yeng: uzun
• Bo'yin chizig'i: yumaloq
• Material: elastan bilan
• Vaqti-vaqti bilan: tasodifiy
• Uslub: tekis
Murakkab:
Astar: 100% polyester
Asosiy: 1% elastan, 99% polyester",Yagona kolleksiyadan libos. To'g'ri model naqshli matodan qilingan.,35,1,175000
4,NIKE SPORTSWEAR,products_images/full_img_2478223_SSB7pKi.jpg,"Nike Sportswear kolleksiyasidan yengil libos. To'g'ri kesilgan model yupqa elastik trikotajdan qilingan.
- To'g'ri mos.
- Qisqa yengli.
- Dumaloq dekolte.
- Yupqa, cho'ziluvchan trikotaj.
- Chop etish bilan model.
- Uzunligi: 90 sm.
- Qo'ltiq kengligi: 47 sm.
- O'lchovlar o'lcham uchun: S.
• Naqsh: chop etish
• Uzunlik: mini
• Bo'yin chizig'i: yumaloq
• Yeng: kalta
• Material: paxta
• Vaqti-vaqti bilan: tasodifiy
• Uslub: tekis
Murakkab:
100% paxta",Nike Sportswear kolleksiyasidan yengil libos. To'g'ri kesilgan model yupqa elastik trikotajdan qilin,32,1,140000
5,HUGO,products_images/full_img_2522447.jpg,"Hugo kolleksiyasidan oqlangan kostyum. Model jun bilan matodan qilingan.
- Qo'shimcha nozik uslub.
- tugmalar bilan mahkamlangan.
- Klassik lapellar.
- Cho'ntaklar.
- Chiziqli model.
- O'q bilan shimlar.
• Naqsh: tekis
• Material: mato
• Material: jun
Murakkab:
Astar: 100% viskoza
Asosiy: 8% poliamid, 23% poliester, 69% yangi jun",Hugo kolleksiyasidan oqlangan kostyum. Model jun bilan matodan qilingan.,5,2,2800000
6,MANGO MAN,products_images/full_img_2199112.jpg,"Mango Man kolleksiyasidan oqlangan kurtka. Model silliq matodan qilingan.
- Slim-fit uslubi.
- mahkamlagichdagi manjetli yenglar.
- tugmalar bilan mahkamlangan.
- Cho'ntaklar.
- Ichki cho'ntaklar.
- Chiziqli model.
Murakkab:
Astar: 55% poliester, 45% viskoza
Asosiy: 2% elastan, 68% poliester, 30% viskoza
Yengi astar: 100% polyester",Mango Man kolleksiyasidan oqlangan kurtka. Model silliq matodan qilingan.,10,2,600000
7,NIGHT DRIVER,products_images/full_img_2534635.jpg,"Medicine kolleksiyasidan kurtka. Model naqshli matodan qilingan.
- Nozik shijoat.
- Cho'ntaklar.
- tugmalar bilan mahkamlangan.
- Klassik lapellar.
- Chiziqli model.
- Qo'ltiq kengligi: 54 sm.
- Yelka kengligi: 44 sm.
- Yeng uzunligi: 64,5 sm.
- Uzunligi: 74,5 sm.
- O'lchovlar o'lcham uchun: M.
• Naqsh: naqshli
• Kesish: nozik
• Material: mato
• Astar: astarli
Murakkab:
Astar: 100% polyester
Asosiy: 2% elastan, 85% poliester, 13% viskoza",Medicine kolleksiyasidan kurtka. Model naqshli matodan qilingan.,15,2,500000
8,PREMIUM BY JACK&JONES,products_images/full_img_2429745.jpg,"Jack&Jones Premium kolleksiyasidan kundalik kurtka. Model silliq matodan qilingan.
- Moda juda nozik kiyinish.
- Cho'ntaklar.
- Elkalari bilan.
- tugmalar bilan mahkamlangan.
- Yupqa cho'zilmaydigan mato.
- Klassik lapellar.
- Chiziqli model.
- Yeng uzunligi: 62,5 sm.
- Uzunligi: 73,5 sm.
- Qo'ltiq kengligi: 50 sm.
- Yelka kengligi: 45 sm.
- Parametrlar o'lcham uchun: 48.
• Naqsh: tekis
• Material: mato
• Astar: astarli
• Material: jun
Murakkab:
Astar: 100% polyester
Asosiy: 1% elastan, 77% poliester, 22% jun",Jack&Jones Premium kolleksiyasidan kundalik kurtka. Model silliq matodan qilingan.,7,2,400000
9,VERO MODA,products_images/full_img_2556354.jpg,"Vero Moda kolleksiyasidan kozok. Naqshli trikotajdan yasalgan yumaloq bo'yinbog'li model.
- To'g'ri mos.
- Uzun yengli.
- Dumaloq dekolte.
- Qo'ltiq kengligi: 51 sm.
- Yeng uzunligi: 66 sm.
- Uzunligi: 62 sm.
- O'lchovlar o'lcham uchun: S.
• Naqsh: naqshli
• Bo'yin chizig'i: yumaloq
• Material: jun
• Trikotaj: yupqa
Murakkab:
22% akril, 4% elastan, 9% neylon, 50% qayta ishlangan polyester, 12% poliester, 3% jun",Vero Moda kolleksiyasidan kozok. Naqshli trikotajdan yasalgan yumaloq bo'yinbog'li model.,63,3,150000
10,MEDICINE RED,products_images/full_img_2541253.jpg,"Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.
- To'g'ri mos.
- Uzun yengli.
- dekorativ tugmalar.
- Yeng uzunligi: 63 sm.
- Uzunligi: 60 sm.
- Qo'ltiq kengligi: 54 sm.
- O'lchovlar o'lcham uchun: S.
Murakkab:
20% poliamid, 29% poliester, 51% viskoza","Medicine kolleksiyasidan kozok. Yarim golfli model, silliq trikotajdan qilingan.",45,3,190000
